function,runtime_seconds,column_length,avg_row_length,avg_num_hinges,max_num_hinges,num_branches
learn_structures_for_single_column,0.509999990463,1000,10.0,2,2,1
learn_structures_for_single_column,0.370000123978,1000,10.0,2,2,1
learn_structures_for_single_column,0.369999885559,1000,10.0,2,2,1
learn_structures_for_single_column,0.599999904633,1000,21.0,5,5,1
learn_structures_for_single_column,0.592000007629,1000,21.0,5,5,1
learn_structures_for_single_column,0.52999997139,1000,21.0,5,5,1
learn_structures_for_single_column,0.880000114441,1000,32.0,8,8,1
learn_structures_for_single_column,0.919999837875,1000,32.0,8,8,1
learn_structures_for_single_column,0.839999914169,1000,32.0,8,8,1
learn_structures_for_single_column,0.359999895096,1000,10.0,2,2,1
learn_structures_for_single_column,0.420000076294,1000,10.0,2,2,1
learn_structures_for_single_column,0.350000143051,1000,10.0,2,2,1
learn_structures_for_single_column,0.639999866486,1000,21.0,5,5,1
learn_structures_for_single_column,0.570000171661,1000,21.0,5,5,1
learn_structures_for_single_column,0.55999994278,1000,21.0,5,5,1
learn_structures_for_single_column,0.859999895096,1000,32.0,8,8,1
learn_structures_for_single_column,0.830000162125,1000,32.0,8,8,1
learn_structures_for_single_column,0.75,1000,32.0,8,8,1
learn_structures_for_single_column,0.369999885559,1000,10.0,2,2,1
learn_structures_for_single_column,0.350000143051,1000,10.0,2,2,1
learn_structures_for_single_column,0.369999885559,1000,10.0,2,2,1
learn_structures_for_single_column,0.580000162125,1000,21.0,5,5,1
learn_structures_for_single_column,0.519999980927,1000,21.0,5,5,1
learn_structures_for_single_column,0.589999914169,1000,21.0,5,5,1
learn_structures_for_single_column,0.900000095367,1000,32.0,8,8,1
learn_structures_for_single_column,0.819999933243,1000,32.0,8,8,1
learn_structures_for_single_column,0.800000190735,1000,32.0,8,8,1
learn_structures_for_single_column,0.359999895096,1000,10.0,2,2,1
learn_structures_for_single_column,0.319999933243,1000,10.0,2,2,1
learn_structures_for_single_column,0.44000005722,1000,10.0,2,2,1
learn_structures_for_single_column,0.610000133514,1000,21.0,5,5,1
learn_structures_for_single_column,0.55999994278,1000,21.0,5,5,1
learn_structures_for_single_column,0.569999933243,1000,21.0,5,5,1
learn_structures_for_single_column,0.840000152588,1000,32.0,8,8,1
learn_structures_for_single_column,0.75,1000,32.0,8,8,1
learn_structures_for_single_column,0.829999923706,1000,32.0,8,8,1
learn_structures_for_single_column,0.420000076294,1000,10.0,2,2,1
learn_structures_for_single_column,0.480000019073,1000,10.0,2,2,1
learn_structures_for_single_column,0.339999914169,1000,10.0,2,2,1
learn_structures_for_single_column,0.700000047684,1000,21.0,5,5,1
learn_structures_for_single_column,0.549999952316,1000,21.0,5,5,1
learn_structures_for_single_column,0.560000181198,1000,21.0,5,5,1
learn_structures_for_single_column,1.02999997139,1000,32.0,8,8,1
learn_structures_for_single_column,0.77999997139,1000,32.0,8,8,1
learn_structures_for_single_column,0.77999997139,1000,32.0,8,8,1
learn_structures_for_single_column,0.359999895096,1000,10.0,2,2,1
learn_structures_for_single_column,0.379999876022,1000,10.0,2,2,1
learn_structures_for_single_column,0.30999994278,1000,10.0,2,2,1
learn_structures_for_single_column,0.610000133514,1000,21.0,5,5,1
learn_structures_for_single_column,0.680000066757,1000,21.0,5,5,1
learn_structures_for_single_column,0.519999980927,1000,21.0,5,5,1
learn_structures_for_single_column,0.77999997139,1000,32.0,8,8,1
learn_structures_for_single_column,0.960000038147,1000,32.0,8,8,1
learn_structures_for_single_column,1.07999992371,1000,32.0,8,8,1
learn_structures_for_single_column,0.350000143051,1000,10.0,2,2,1
learn_structures_for_single_column,0.349999904633,1000,10.0,2,2,1
learn_structures_for_single_column,0.55999994278,1000,10.0,2,2,1
learn_structures_for_single_column,0.549999952316,1000,21.0,5,5,1
learn_structures_for_single_column,0.619999885559,1000,21.0,5,5,1
learn_structures_for_single_column,0.640000104904,1000,21.0,5,5,1
learn_structures_for_single_column,0.879999876022,1000,32.0,8,8,1
learn_structures_for_single_column,0.869999885559,1000,32.0,8,8,1
learn_structures_for_single_column,0.870000123978,1000,32.0,8,8,1
learn_structures_for_single_column,0.419999837875,1000,10.0,2,2,1
learn_structures_for_single_column,0.350000143051,1000,10.0,2,2,1
learn_structures_for_single_column,0.359999895096,1000,10.0,2,2,1
learn_structures_for_single_column,0.620000123978,1000,21.0,5,5,1
learn_structures_for_single_column,0.639999866486,1000,21.0,5,5,1
learn_structures_for_single_column,0.560000181198,1000,21.0,5,5,1
learn_structures_for_single_column,0.839999914169,1000,32.0,8,8,1
