BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site
CLBAL0001,2:00 AM,ST,Boston,2127,39.3,585,"$44,006.26 ",2011N-00057,UO67
CLBAL0002,1:00 AM,AV,Boston,2136,50.4,142.4,($886.20),2013N-00015,*Indicates location not included in 2012 map 
CLBAL0003,1:00 AM,AV,Boston,2127,117.1,627.7,"$101,468.29 ",2014N-00014,UO44
CLBAL0004,1:00 AM,AV,Boston,2109,57.8,279.6,"$42,919.31 ",2011N-00040,UO37
CLBAL0005,2:00 AM,Av,Boston,2108,65,1891.7,"$39,768.17 ",2012N-00125,UO74
CLBAL0007,1:00 AM,RD,Hyde Park,2199,104.5,7486.4,"$98,938.55 ",2013N-00175,UO58
CLBAL0008,1:00 AM,ST,Boston,2128,103.1,533.8,"$8,873.97 ",2011N-00003,UO26
CLBAL0009,1:00 AM,ST,Boston,2120,90.1,461.6,"$106,848.84 ",2012N-00093,UO11
CLBAL0012,1:00 AM,BL,Dorchester,2114,81.7,384.4,"$84,249.74 ",2013N-00111,UO72
CLBAL0014,1:00 AM,ST,Boston,2110,61.2,2208.8,"$88,539.63 ",2014N-00134,UO17
CLBAL0016,2:00 AM,ST,West Roxbury,2108,104.1,960.5,"$36,062.67 ",2012N-00029,UO8
CLBAL0017,2:00 AM,ST,Boston,2110,77.3,3481.3,"$1,557.00 ",2013N-00079,UO4
CLBAL0018,1:00 AM,,Boston,2109,,0,"$98,860.29 ",2014N-00093,UO32
CLBAL0019,1:00 AM,RD,Dorchester,2118,88,957.8,$582.75 ,2011N-00053,UO16
CLBAL0020,2:00 AM,ST,Boston,2127,166.8,1035.2,"$107,575.68 ",2013N-00008,UO69
CLBAL0021,2:00 AM,St,Brighton,2109,17.8,332.7,"$4,824.55 ",2013N-00178,UO13
CLBAL0022,2:00 AM,ST,Roslindale,2118,89,475.9,"$82,652.41 ",2014N-00181,UO30
CLBAL0023,2:00 AM,,South Boston,2120,0.2,0.5,"$32,653.66 ",2011N-00022,UO55
CLBAL0024,1:00 AM,ST,Charlestown,2131,182.4,5215,"$87,002.38 ",2013N-00140,UO51
CLBAL0025,2:00 AM,ST,Dorchester,2130,54.3,242.2,"$45,475.20 ",2012N-00108,UO3
CLBAL0026,1:00 AM,AV,Boston,2109,67.2,1729.5,$824.36 ,2014N-00153,UO35
CLBAL0027,1:00 AM,RD,Boston,2120,5.7,175.6,"$106,769.77 ",2012N-00007,UO10
CLBAL0028,2:00 AM,ST,East Boston,2135,98.4,801.4,"$76,413.98 ",2013N-00114,UO84
CLBAL0029,1:00 AM,ST,Boston,2109,55.5,6740.3,"$108,181.17 ",2014N-00049,UO20
CLBAL0030,2:00 AM,St,Roslindale,2215,67.2,214.2,"$73,197.77 ",2012N-00001,UO47
CLBAL0031,1:00 AM,ST,Roslindale,2116,125.7,525.8,"$91,619.96 ",2013N-00021,UO93*
CLBAL0032,1:00 AM,ST,Dorchester,2108,113.8,1483.3,"$39,948.98 ",2014N-00026,UO36
CLBAL0033,1:00 AM,PL,Boston,2115,,,"$46,860.44 ",2011N-00012,UO57
CLBAL0034,1:00 AM,AV,Roxbury,2116,86.3,2430.4,"$86,331.52 ",2012N-00082,UO52
CLBAL0036,2:00 AM,AV,Roxbury,2111,123.4,1047.6,"$34,884.32 ",2013N-00104,UO86
CLBAL0037,2:00 AM,ST,East Boston,2127,2,49.5,"$5,336.41 ",2014N-00123,UO43
CLBAL0038,2:00 AM,ST,Dorchester,2110,65.3,5524.9,"$1,848.00 ",2011N-00056,UO27
CLBAL0039,2:00 AM,AV,Dorchester,121091402,,0,"$65,400.71 ",2013N-00002,UO77
CLBAL0040,1:00 AM,Av,Boston,2215,107.2,6133.2,"$5,672.43 ",2014N-00009,UO63
CLBAL0042,1:00 AM,ST,Hyde Park,2116,2,22.5,"$102,220.33 ",2011N-00021,UO9
,1:00 AM,St,West Roxbury,2118,40.4,124.7,"$42,122.40 ",2012N-00090,UO80
CLBALA0002,2:00 AM, ,East Boston,2110,117.3,764.7,"$91,230.88 ",2013N-00102,UO6
CLBALV0002,1:00 AM,ST,South Boston,2108,92.2,946.9,"$63,288.51 ",2014N-00116,UO49
CLBALV0003,2:00 AM,BL,Dorchester,2116,138,1684,"$42,876.01 ",2011N-00066,UO90
CLBALV0004,1:00 AM,ST,Dorchester,2115,50.2,14.9,"$24,290.38 ",2013N-00011,UO62
