Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
1,CLBAL0001,2:00 AM,ST,Boston,2127,39.3,585,"$44,006.26",2011N-00057,UO67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CLBAL0002,1:00 AM,AV,Boston,2136,50.4,142.4,($886.20),2013N-00015,*Indicates location not included in 2012 map,0.0255225522552,0.004243281471,0.0618811881188,0.0221947194719,0.0118811881188,0.0367161716172,0.022630834512,0.161276127613,0.0148514851485,0.329657965797
3,CLBAL0003,1:00 AM,AV,Boston,2127,117.1,627.7,"$101,468.29",2014N-00014,UO44,0.0270627062706,0.004243281471,0.0618811881188,0.0221947194719,0.0465346534653,0.0379537953795,0.022630834512,0.0131413141314,0.0148514851485,0.0173267326733
4,CLBAL0004,1:00 AM,AV,Boston,2109,57.8,279.6,"$42,919.31",2011N-00040,UO37,0.0270627062706,0.004243281471,0.0618811881188,0.0221947194719,0.0158415841584,0.042904290429,0.022630834512,0.0209900990099,0.0148514851485,0.0173267326733
5,CLBAL0005,2:00 AM,Av,Boston,2108,65,1891.7,"$39,768.17",2012N-00125,UO74,0.0270627062706,0.0045261669024,0.0926449787836,0.0221947194719,0.0158415841584,0.126237623762,0.0275813295615,0.0209900990099,0.0148514851485,0.0173267326733
6,CLBAL0007,1:00 AM,RD,Hyde Park,2199,104.5,7486.4,"$98,938.55",2013N-00175,UO58,0.0270627062706,0.004243281471,0.0636492220651,0.0696369636964,0.0158415841584,0.0379537953795,0.0275813295615,0.0209900990099,0.0148514851485,0.0173267326733
7,CLBAL0008,1:00 AM,ST,Boston,2128,103.1,533.8,"$8,873.97",2011N-00003,UO26,0.0270627062706,0.004243281471,0.0321782178218,0.0221947194719,0.0292079207921,0.0379537953795,0.0223479490806,0.0250825082508,0.0148514851485,0.0173267326733
8,CLBAL0009,1:00 AM,ST,Boston,2120,90.1,461.6,"$106,848.84",2012N-00093,UO11,0.0270627062706,0.004243281471,0.0321782178218,0.0221947194719,0.0430693069307,0.0367161716172,0.022630834512,0.0131413141314,0.0148514851485,0.0173267326733
9,CLBAL0012,1:00 AM,BL,Dorchester,2114,81.7,384.4,"$84,249.74",2013N-00111,UO72,0.0272827282728,0.004243281471,0.0714285714286,0.0583168316832,0.029702970297,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
10,CLBAL0014,1:00 AM,ST,Boston,2110,61.2,2208.8,"$88,539.63",2014N-00134,UO17,0.0288228822882,0.004243281471,0.0321782178218,0.0221947194719,0.0262376237624,0.0367161716172,0.0275813295615,0.0186138613861,0.0148514851485,0.0173267326733
